Date,AveragePrice,Total Volume,Revenue
2016-05-29,0.98,6700986.44,6566966.711200001
2016-06-05,0.94,7365675.31,6923734.7913999995
2016-06-12,1.01,6506234.86,6571297.2086000005
2016-06-19,1.06,6528056.18,6919739.5508
2016-06-26,1.03,6407277.49,6599495.8147
2016-07-03,1.1,7087455.16,7796200.676000001
2016-07-10,1.08,6721690.88,7259426.150400001
2016-07-17,1.14,6200613.68,7068699.595199999
2016-07-24,1.2,6104047.38,7324856.856
2016-07-31,1.22,5947160.29,7255535.5538
2016-08-07,1.17,6144827.51,7189448.1866999995
2016-08-14,1.07,6538335.89,6996019.4023
2016-08-21,1.05,6308000.34,6623400.357
2016-08-28,0.99,6696300.05,6629337.0495
2016-09-04,1.08,6681646.14,7216177.8312
2016-09-11,1.12,6059764.51,6786936.251200001
2016-09-18,1.22,5471565.28,6675309.6416
2016-09-25,1.15,6075588.68,6986926.981999999
2016-10-02,1.19,5652496.31,6726470.608899999
2016-10-09,1.34,5375978.5,7203811.19
2016-10-16,1.4,4878037.64,6829252.6959999995
2016-10-23,1.39,3899040.66,5419666.5174
2016-10-30,1.68,3139833.5,5274920.28
2016-11-06,1.68,3395058.42,5703698.145599999
2016-11-13,1.48,3848128.2,5695229.7360000005
2016-11-20,1.32,4253815.59,5615036.5788
2016-11-27,1.21,4185900.67,5064939.810699999
2016-12-04,0.98,5062952.53,4961693.479400001
2016-12-11,0.9,5526646.12,4973981.508
2016-12-18,0.95,4922621.54,4676490.4629999995
2016-12-25,0.94,5414937.46,5090041.2124
2017-01-01,0.89,7175276.66,6385996.2274
2017-01-08,1.0,6653048.21,6653048.21
2017-01-15,0.93,6656554.36,6190595.554800001
2017-01-22,0.76,8153340.48,6196538.7648
2017-01-29,0.76,8055482.07,6122166.3732
2017-02-05,0.67,11213596.29,7513109.5143
2017-02-12,0.79,6862176.64,5421119.5456
2017-02-19,0.95,6194368.66,5884650.227
2017-02-26,0.95,6342089.92,6024985.424
2017-03-05,1.15,5634150.07,6479272.5805
2017-03-12,1.31,5208101.86,6822613.436600001
2017-03-19,1.31,5328958.01,6980934.9931
2017-03-26,1.33,5073070.91,6747184.310300001
2017-04-02,1.22,5719811.06,6978169.493199999
2017-04-09,1.13,6249182.98,7061576.7674
2017-04-16,1.34,5442086.44,7292395.829600001
2017-04-23,1.26,5637299.78,7102997.722800001
2017-04-30,1.25,5889669.2,7362086.5
2017-05-07,1.08,7872203.23,8501979.488400001
2017-05-14,1.17,6370622.3,7453628.090999999
2017-05-21,1.35,5599003.03,7558654.090500001
2017-05-28,1.32,6160751.92,8132192.5344
2017-06-04,1.2,6507093.57,7808512.284
2017-06-11,1.22,6177216.24,7536203.8128
2017-06-18,1.2,6599048.85,7918858.619999999
2017-06-25,1.15,6999255.87,8049144.250499999
2017-07-02,1.28,6607292.61,8457334.540800001
2017-07-09,1.28,6499668.48,8319575.6544
2017-07-16,1.49,5405190.35,8053733.621499999
2017-07-23,1.46,5188483.1,7575185.325999999
2017-07-30,1.38,5571000.96,7687981.3248
2017-08-06,1.36,5655955.05,7692098.868000001
2017-08-13,1.26,5862368.39,7386584.171399999
2017-08-20,1.64,4524974.68,7420958.475199999
2017-08-27,1.78,4360013.67,7760824.3326
2017-09-03,1.65,4648718.22,7670385.062999999
2017-09-10,1.71,4380657.13,7490923.692299999
2017-09-17,1.72,4167531.38,7168153.9736
2017-09-24,1.74,3937000.67,6850381.1658
2017-10-01,1.77,3870633.16,6851020.693200001
2017-10-08,1.74,4151444.41,7223513.2734
2017-10-15,1.68,4066640.98,6831956.8464
2017-10-22,1.53,4420877.4,6763942.422
2017-10-29,1.2,5714676.89,6857612.267999999
2017-11-05,1.15,5663438.53,6512954.3094999995
2017-11-12,1.15,5637795.0,6483464.249999999
2017-11-19,1.26,4782021.0,6025346.46
2017-11-26,1.3,4392810.0,5710653.0
2017-12-03,1.09,5544556.0,6043566.04
2017-12-10,1.06,5715712.21,6058654.942600001
2017-12-17,0.98,6205211.05,6081106.829
2017-12-24,1.13,5346535.57,6041585.1941
2017-12-31,0.93,7132711.23,6633421.4439
2018-01-07,1.19,5756632.36,6850392.5084
2018-01-14,1.27,5927016.73,7527311.2471
2018-01-21,1.12,6610010.64,7403211.916800001
2018-01-28,1.16,6134040.58,7115487.072799999
2018-02-04,0.8,10894677.77,8715742.216
2018-02-11,0.98,6718358.1,6583990.937999999
2018-02-18,1.1,6379219.83,7017141.813000001
2018-02-25,1.03,6750361.46,6952872.3038
2018-03-04,1.13,6295529.61,7113948.459299999
2018-03-11,1.11,6488605.43,7202352.0273
2018-03-18,1.02,6802084.11,6938125.7922
2018-03-25,1.04,6687009.44,6954489.817600001
